company,industry,rating,ead,base_ecl,stressed_ecl,provision_increase
Theta Real Estate,Real Estate,BB,30000000,900000.0,1260000.0,360000.0
Iota Hospitality,Retail,B,4500000,506250.0,759375.0,253125.0
Pi Retail,Retail,CCC,1500000,446250.0,669375.0,223125.0
Beta Builders,Construction,BB,12000000,360000.0,486000.0,126000.0
Sigma Properties,Real Estate,BBB,45000000,303750.0,425250.0,121500.0
Epsilon Retail,Retail,B,2000000,225000.0,337500.0,112500.0
Lambda Steel,Manufacturing,BB,11000000,330000.0,396000.0,66000.0
Tau Textiles,Manufacturing,B,2500000,281250.0,337500.0,56250.0
Eta Manufacturing,Manufacturing,BBB,7000000,47250.0,56700.0,9450.0
Gamma Logistics,Transport,BBB,8500000,57375.0,63112.5,5737.5
Xi Chemicals,Manufacturing,A,18000000,16200.0,19440.0,3240.0
Nu Agriculture,Agriculture,A,6000000,5400.0,6210.0,810.0
Omicron Ports,Transport,AA,22000000,4950.0,5445.0,495.0
Alpha Tech,Technology,A,5000000,4500.0,4500.0,0.0
Kappa FinTech,Technology,A,9000000,8100.0,8100.0,0.0
Upsilon Education,Public Sector,AA,5500000,1237.5,1237.5,0.0
Zeta Pharma,Healthcare,AAA,15000000,675.0,675.0,0.0
Mu Media,Technology,BBB,3000000,20250.0,20250.0,0.0
Rho Renewables,Energy,AAA,12500000,562.5,506.25,-56.25
Delta Energy,Energy,AA,25000000,5625.0,5062.5,-562.5